subjectID	set	memorisation	flip	block	visibility	category	rt	acc	catacc	keys	catkeys	catRTs
P01	set1	memorisation_2	flip	block2	foil	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_2	flip	block2	box 	4	0.000	0	0	0	0	0.000
