subjectID	set	memorisation	flip	block	visibility	category	rt	acc	catacc	keys	catkeys	catRTs
P01	set1	memorisation_1	flip	block2	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	box 	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	foil	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	box 	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block4	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	foil	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block8	box 	4	0.000	0	0	0	0	0.000
