subjectID	set	memorisation	flip	block	visibility	category	rt	acc	catacc	keys	catkeys	catRTs
P01	set1	memorisation_1	flip	block1	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	foil	3	1.238	0	0	8	0	0.000
P01	set1	memorisation_1	flip	block1	foil	2	0.553	0	0	8	0	0.000
P01	set1	memorisation_1	flip	block1	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	box 	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block1	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	box 	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	foil	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block3	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	foil	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	box 	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	full	1	1.098	0	0	39	0	0.000
P01	set1	memorisation_1	flip	block7	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	full	3	0.976	1	0	38	65	0.488
P01	set1	memorisation_1	flip	block7	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block7	foil	4	0.853	0	0	40	0	0.000
P01	set1	memorisation_1	flip	block7	box 	3	0.434	0	0	38	0	0.000
P01	set1	memorisation_1	flip	block5	full	2	0.374	1	1	38	83	0.715
P01	set1	memorisation_1	flip	block5	foil	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block5	box 	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	box 	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	full	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	box 	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	foil	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	box 	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	foil	4	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	full	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	foil	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	full	3	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	full	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	foil	1	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block6	box 	2	0.000	0	0	0	0	0.000
P01	set1	memorisation_1	flip	block2	foil	2	0.000	0	0	0	0	0.000
